complex_id,complex_name,name_yandex,longitude,latitude,builder_id
47403,Притяжение,ЖК Притяжение,30.33288,59.977008999999995,8079
6899,на Ярославском проспекте,ЖК Ярославский 23,30.322001,60.012935999999996,8154
31317,Новый дом в Луге,Новый дом в Луге,29.852539,58.72533000000001,15272
7222,Живи! в Рыбацком,Квартал Живи! в Рыбацком,30.534246000000003,59.829823,8146
6958,Краски Лета,ЖК Краски лета,30.427534,60.060913,8130
8781,4YOU,ЖК 4you,30.338877,59.823956,9591
49766,Архитектор,ЖК Архитектор,30.512484000000004,59.917892,9037
31470,МореОкеан,ЖК МореОкеан,30.223323999999998,60.004268999999994,8079
8398,"Светлый мир ""Внутри""",Апарт-комплекс Светлый мир Внутри,29.941626,60.129658,8589
11796,Дипломат,ЖК Дипломат,30.383503,59.930397,8133
50337,ЭкспоГрад 3,ЖК ЭкспоГрад III,30.371101,59.749706,8104
47145,Сосновка,ЖК Сосновка,30.327986,60.023487,9037
20631,Всеволожский штиль,ЖК Всеволожский штиль,30.598511,60.01712,9117
46181,NEVA-NEVA (Нева-Нева),ЖК Neva-neva,30.255527,59.937267000000006,1602
46983,Облака на Лесной,ЖК Облака на Лесной,30.358634999999996,59.98328000000001,8079
49809,Континенты,ЖК Континенты,30.31333,60.068474,1301
7179,Фонтанка 76,Клубный дом Фонтанка 76,30.336871999999996,59.925895999999995,-1
7934,Монополист,ЖК Монополист,30.391302000000003,59.939991000000006,15008
28996,Вахрушева,ЖК Вахрушева,30.647715,60.023029,9080
6956,Чистое небо,ЖК Чистое небо,30.224218,60.039562,8079
6970,Крестовский de luxe,Резиденция Крестовский de luxe,30.270891,59.966784999999994,9186
51244,Familia (Фамилия),ЖК Familia,30.261098999999998,59.960514,8136
8831,Twin House (Твин Хаус),ЖК Twin House,30.367426000000002,59.87398100000001,9164
6962,Графская слобода,ЖК Графская слобода,30.432817,59.640533,1325
1295861,Адмирал Ушаков,ЖК Адмирал Ушаков,30.258728,59.95182,9037
7260,Небо Москвы,ЖК Небо Москвы,30.325235,59.904823,-1
52704,Мурино Парк,ЖК Мурино парк,30.439829,60.064762,8100
52707,START,Апарт-комплекс Start,30.342440000000003,60.071091,8133
45198,Docklands2 (Докландс2),Лофт Docklands. Vasilievsky,30.246874,59.956551,9982
6883,Дворянское сословие,ЖК Дворянское сословие,30.406788,59.707127,9142
51227,На Героев,ЖК Legenda Героев,30.152653000000004,59.858787,14875
35423,YOGA 1 (Йога 1),ЖК Yoga,30.232071,60.032726000000004,1245
47389,Светлый мир \,ЖК Светлый мир Жизнь,30.344393,59.82439399999999,8589
50112,ArtLine (Артлайн),ЖК ArtLine в Приморском,30.257893,59.99495699999999,8079
7146,Солнечный квартет 2,ЖК Солнечный квартет I,30.534392999999998,59.663425,8104
8153,Балканы,ЖК Балканы,30.402361,59.83445699999999,1245
7721,NEWПИТЕР (НЬЮПИТЕР),ЖК New Питер,30.080928999999998,59.811127,9037
59413,The One (Зе Ван),ЖК The One,30.254011,59.960491000000005,8079
48682,Охта Хаус,ЖК Охта Хаус,30.447670000000002,59.955845,8110
7238,Дом на улице Нижне-Каменская,Дом на улице Нижне-Каменская,30.225873999999997,60.032089,8154
6837,Кристалл Полюстрово,ЖК Кристалл Полюстрово,30.428532,59.968899,8110
